CustomerID,FirstName,LastName,total_balance,total_transactions,total_amount,avg_txn_amount
1,Dustin,Diaz,25463.0,4,15460.65,3865.1625
2,Jessica,Anderson,20529.0,1,8824.33,8824.33
3,Jeremy,Wagner,144532.0,10,49823.8,4982.38
4,Crystal,Roberts,52596.0,3,23362.89,7787.63
5,Anna,Bryant,51737.0,15,48589.89,3239.326
6,Stephanie,Anderson,0.0,0,0.0,0.0
7,Andrew,Watson,0.0,0,0.0,0.0
8,Charles,Leach,139630.0,6,24355.08,4059.1800000000003
9,Tracy,Dominguez,11084.0,3,18077.93,6025.9766666666665
10,Patricia,Wilcox,10255.0,6,44368.9,7394.816666666667
11,Christopher,Baker,25296.0,2,8920.42,4460.21
12,Veronica,Patton,64870.0,4,20774.78,5193.695
13,Melissa,Santiago,35298.0,2,5231.92,2615.96
14,Ernest,Davis,285597.0,16,95132.42,5945.77625
15,Steven,Ramos,0.0,0,0.0,0.0
16,Thomas,Sharp,93848.0,2,18379.42,9189.71
17,Michelle,Erickson,0.0,0,0.0,0.0
18,Rachael,Adams,0.0,0,0.0,0.0
19,Chad,Young,0.0,0,0.0,0.0
20,Charles,Gibbs,0.0,0,0.0,0.0
21,William,Erickson,99269.0,5,31656.57,6331.314
22,Jennifer,Campbell,285179.0,13,61365.2,4720.4
23,Monique,Bryan,151189.0,9,35905.1,3989.4555555555553
24,Tara,Reed,0.0,0,0.0,0.0
25,Daniel,Smith,0.0,0,0.0,0.0
26,Rachael,Mcclure,0.0,0,0.0,0.0
27,Caleb,Cherry,0.0,0,0.0,0.0
28,Katherine,Clements,162465.0,8,41893.380000000005,5236.672500000001
29,Brenda,Garcia,0.0,0,0.0,0.0
30,Steven,Russo,0.0,0,0.0,0.0
31,Dale,Porter,118154.0,2,4599.62,2299.81
32,Benjamin,Cowan,32142.0,8,52923.32,6615.415
33,Casey,Frederick,2145.0,1,1192.57,1192.57
34,Nicole,Miller,98573.0,7,36804.19,5257.7414285714285
35,Andrew,Hood,97244.0,2,19773.75,9886.875
36,Jennifer,Mann,55457.0,12,62783.55,5231.962500000001
37,Michael,Henderson,0.0,0,0.0,0.0
38,Chad,Holland,94610.0,6,21172.13,3528.6883333333335
39,Daniel,Collins,85682.0,6,31616.019999999997,5269.336666666666
40,Jason,Rogers,78656.0,4,6653.129999999999,1663.2824999999998
41,Sharon,Day,167684.0,5,30136.43,6027.286
42,Stephanie,Chambers,0.0,0,0.0,0.0
43,Heidi,Perry,90335.0,5,22390.11,4478.022
44,Ryan,Allen,0.0,0,0.0,0.0
45,Kristy,Harris,60013.0,5,32732.28,6546.456
46,Michelle,Hart,20321.0,2,3413.6400000000003,1706.8200000000002
47,Michael,Carrillo,80864.0,5,28288.53,5657.706
48,Roger,Cohen,16330.0,7,30762.43,4394.632857142858
49,Frank,Barr,65750.0,1,969.12,969.12
50,Vanessa,Gutierrez,87774.0,7,27846.14,3978.02
51,John,Thomas,0.0,0,0.0,0.0
52,Kelly,Joseph,67488.0,11,61703.19,5609.380909090909
53,Michael,Brown,11124.0,2,7396.860000000001,3698.4300000000003
54,Kristen,Taylor,22917.0,2,9199.26,4599.63
55,Alexis,Coleman,0.0,0,0.0,0.0
56,Rodney,Martinez,68494.0,3,24319.0,8106.333333333333
57,Kevin,Johnson,0.0,0,0.0,0.0
58,Jason,White,0.0,0,0.0,0.0
59,Christopher,Jenkins,0.0,0,0.0,0.0
60,Jonathan,Ware,0.0,0,0.0,0.0
61,Melissa,Riley,70936.0,1,5734.39,5734.39
62,Roberto,Taylor,4863.0,6,19473.79,3245.6316666666667
63,Courtney,Wise,63238.0,3,11344.34,3781.4466666666667
64,Mark,Luna,91004.0,1,7173.59,7173.59
65,Clifford,Lopez,116793.0,6,26861.93,4476.988333333334
66,Hannah,Alvarez,13868.0,3,14162.15,4720.716666666666
67,David,Johnson,0.0,0,0.0,0.0
68,Jacob,York,31867.0,1,9279.13,9279.13
69,Patricia,Brooks,93117.0,3,16912.559999999998,5637.5199999999995
70,Julie,James,3450.0,3,16149.640000000001,5383.213333333334
71,Dylan,Kim,148638.0,7,32109.32,4587.045714285714
72,Melissa,Holt,0.0,0,0.0,0.0
73,Ashley,Robinson,124101.0,9,45319.700000000004,5035.522222222223
74,David,Odom,0.0,0,0.0,0.0
75,Rebecca,Novak,0.0,0,0.0,0.0
76,James,Robles,0.0,0,0.0,0.0
77,Willie,Dominguez,233120.0,14,86891.8,6206.557142857143
78,Philip,Ramos,6929.0,4,15024.759999999998,3756.1899999999996
79,Heather,Barber,124700.0,16,80570.95,5035.684375
80,Christopher,Marshall,0.0,0,0.0,0.0
81,Grace,Davis,50108.0,5,17223.17,3444.6339999999996
82,Jennifer,Santiago,47453.0,2,7403.41,3701.705
83,Miguel,Montgomery,0.0,0,0.0,0.0
84,Jeffrey,Hobbs,82253.0,7,42413.83,6059.118571428572
85,Scott,Hunt,8013.0,5,19273.47,3854.6940000000004
86,Elizabeth,Myers,68576.0,10,52136.32,5213.632
87,Brianna,Kim,114605.0,8,34295.81,4286.97625
88,Amanda,Fisher,98325.0,3,9050.57,3016.8566666666666
89,Daniel,Joseph,0.0,0,0.0,0.0
90,Justin,Case,0.0,0,0.0,0.0
91,Bonnie,Burch,101675.0,5,28039.670000000002,5607.934
92,George,Tucker,88158.0,11,52237.02,4748.82
93,Jonathan,Jimenez,0.0,0,0.0,0.0
94,Mark,Martin,0.0,0,0.0,0.0
95,Natalie,Hall,71399.0,2,6904.0199999999995,3452.0099999999998
96,Sandra,Gray,90301.0,4,22905.36,5726.34
97,Allison,Wright,22955.0,1,5233.66,5233.66
98,Wesley,Bailey,91464.0,8,43398.62,5424.8275
99,Victoria,Willis,10706.0,5,15557.73,3111.546
100,Troy,Nguyen,56971.0,3,25250.8,8416.933333333332
101,Jennifer,Sutton,0.0,0,0.0,0.0
102,Laurie,Petersen,0.0,0,0.0,0.0
103,Isaac,Moore,89121.0,5,13056.57,2611.314
104,Scott,Gordon,156634.0,8,44414.24,5551.78
105,Manuel,Lester,0.0,0,0.0,0.0
106,Kathleen,Walker,155573.0,10,51492.8,5149.280000000001
107,Jason,Parker,72825.0,5,28483.4,5696.68
108,Grant,Taylor,0.0,0,0.0,0.0
109,Corey,Alexander,33572.0,3,9085.3,3028.433333333333
110,Donna,Fox,5378.0,4,23587.59,5896.8975
111,Daniel,Little,0.0,0,0.0,0.0
112,Scott,Lopez,126644.0,7,35834.19,5119.17
113,Chad,Johnson,0.0,0,0.0,0.0
114,Stephanie,Robertson,0.0,0,0.0,0.0
115,Kelly,Lawson,83420.0,0,0.0,0.0
116,Erin,Matthews,52398.0,3,12614.599999999999,4204.866666666666
117,Amber,Spencer,140464.0,9,50542.73,5615.858888888889
118,Deborah,Gray,80061.0,5,35137.200000000004,7027.4400000000005
119,Joan,Savage,93272.0,6,31482.879999999997,5247.1466666666665
120,Terri,Scott,0.0,0,0.0,0.0
121,Mark,Lawson,61407.0,0,0.0,0.0
122,Shane,Robbins,0.0,0,0.0,0.0
123,Stephanie,Thompson,45987.0,0,0.0,0.0
124,Andrew,Lowery,0.0,0,0.0,0.0
125,Adam,Gonzalez,29525.0,2,11725.78,5862.89
126,Erica,Watts,82884.0,2,11005.77,5502.885
127,Jessica,Welch,66577.0,3,21781.55,7260.516666666666
